gene_name,gene_acc,source_plate_barcode,source_plate_label,cell_plate_barcode,cell_plate_label,well,row,column,label,experimental_content_type_name,molecule_design_id
Ubap2,68926,2490686,MYORES_pass1_p6,2490690,MY-pass1-j01-MP6-1,L06,L,6,sample,SAMPLE,10387074
Ube2e2,218793,2490683,MYORES_pass1_p5,2490691,MY-pass1-j01-MP4-3,E18,E,18,sample,SAMPLE,10386538
Ube2e2,218793,2490683,MYORES_pass1_p5,2490692,MY-pass1-j01-MP4-2,E18,E,18,sample,SAMPLE,10386538
Ube2e2,218793,2490683,MYORES_pass1_p5,2490693,MY-pass1-j01-MP4-1,E18,E,18,sample,SAMPLE,10386538
Ube2m,22192,2490686,MYORES_pass1_p6,2490688,MY-pass1-j01-MP6-3,C15,C,15,sample,SAMPLE,10386987
Ube2m,22192,2490686,MYORES_pass1_p6,2490689,MY-pass1-j01-MP6-2,C15,C,15,sample,SAMPLE,10386987
Ube2m,22192,2490686,MYORES_pass1_p6,2490690,MY-pass1-j01-MP6-1,C15,C,15,sample,SAMPLE,10386987
Ubqln1,56085,2490684,MYORES_pass1_p4,2490694,MY-pass1-j01-MP5-3,L09,L,9,sample,SAMPLE,10386580
Ubqln1,56085,2490684,MYORES_pass1_p4,2490695,MY-pass1-j01-MP5-2,L09,L,9,sample,SAMPLE,10386580
Ubqln1,56085,2490684,MYORES_pass1_p4,2490696,MY-pass1-j01-MP5-1,L09,L,9,sample,SAMPLE,10386580
Ubqln2,54609,2490686,MYORES_pass1_p6,2490688,MY-pass1-j01-MP6-3,N10,N,10,sample,SAMPLE,10387073
Ubqln2,54609,2490686,MYORES_pass1_p6,2490689,MY-pass1-j01-MP6-2,N10,N,10,sample,SAMPLE,10387073
Ubqln2,54609,2490686,MYORES_pass1_p6,2490690,MY-pass1-j01-MP6-1,N10,N,10,sample,SAMPLE,10387073
Ubqln4,94232,2490683,MYORES_pass1_p5,2490691,MY-pass1-j01-MP4-3,L05,L,5,sample,SAMPLE,10386317
Ubqln4,94232,2490683,MYORES_pass1_p5,2490692,MY-pass1-j01-MP4-2,L05,L,5,sample,SAMPLE,10386317
Ubqln4,94232,2490683,MYORES_pass1_p5,2490693,MY-pass1-j01-MP4-1,L05,L,5,sample,SAMPLE,10386317
Ubxn2a,217379,2490682,MYORES_pass1_p3,2490700,MY-pass1-j01-MP3-3,D16,D,16,sample,SAMPLE,10386029
Ubxn2a,217379,2490682,MYORES_pass1_p3,2490701,MY-pass1-j01-MP3-2,D16,D,16,sample,SAMPLE,10386029
Ubxn2a,217379,2490682,MYORES_pass1_p3,2490702,MY-pass1-j01-MP3-1,D16,D,16,sample,SAMPLE,10386029
Ubxn6,66530,2490686,MYORES_pass1_p6,2490688,MY-pass1-j01-MP6-3,G14,G,14,sample,SAMPLE,10386700
Ubxn6,66530,2490686,MYORES_pass1_p6,2490689,MY-pass1-j01-MP6-2,G14,G,14,sample,SAMPLE,10386700
Ubxn6,66530,2490686,MYORES_pass1_p6,2490690,MY-pass1-j01-MP6-1,G14,G,14,sample,SAMPLE,10386700
Uchl1,22223,2490684,MYORES_pass1_p4,2490694,MY-pass1-j01-MP5-3,G06,G,6,sample,SAMPLE,10386823
Uchl1,22223,2490684,MYORES_pass1_p4,2490695,MY-pass1-j01-MP5-2,G06,G,6,sample,SAMPLE,10386823
Uchl1,22223,2490684,MYORES_pass1_p4,2490696,MY-pass1-j01-MP5-1,G06,G,6,sample,SAMPLE,10386823
Uck1,22245,2490684,MYORES_pass1_p4,2490694,MY-pass1-j01-MP5-3,K10,K,10,sample,SAMPLE,10386851
Uck1,22245,2490684,MYORES_pass1_p4,2490695,MY-pass1-j01-MP5-2,K10,K,10,sample,SAMPLE,10386851
Uck1,22245,2490684,MYORES_pass1_p4,2490696,MY-pass1-j01-MP5-1,K10,K,10,sample,SAMPLE,10386851
Ufsp1,70240,2490682,MYORES_pass1_p3,2490700,MY-pass1-j01-MP3-3,I07,I,7,sample,SAMPLE,10386232
Ufsp1,70240,2490682,MYORES_pass1_p3,2490701,MY-pass1-j01-MP3-2,I07,I,7,sample,SAMPLE,10386232
Ufsp1,70240,2490682,MYORES_pass1_p3,2490702,MY-pass1-j01-MP3-1,I07,I,7,sample,SAMPLE,10386232
Ugt2b1,71773,2490682,MYORES_pass1_p3,2490700,MY-pass1-j01-MP3-3,J10,J,10,sample,SAMPLE,10386178
Ugt2b1,71773,2490682,MYORES_pass1_p3,2490701,MY-pass1-j01-MP3-2,J10,J,10,sample,SAMPLE,10386178
Ugt2b1,71773,2490682,MYORES_pass1_p3,2490702,MY-pass1-j01-MP3-1,J10,J,10,sample,SAMPLE,10386178
Unkl,74154,2490681,MYORES_pass1_p2,2490697,MY-pass1-j01-MP2-3,K14,K,14,sample,SAMPLE,10385739
Unkl,74154,2490681,MYORES_pass1_p2,2490698,MY-pass1-j01-MP2-2,K14,K,14,sample,SAMPLE,10385739
Unkl,74154,2490681,MYORES_pass1_p2,2490699,MY-pass1-j01-MP2-1,K14,K,14,sample,SAMPLE,10385739
Uqcc,56046,2490686,MYORES_pass1_p6,2490688,MY-pass1-j01-MP6-3,K10,K,10,sample,SAMPLE,10386950
Uqcc,56046,2490686,MYORES_pass1_p6,2490689,MY-pass1-j01-MP6-2,K10,K,10,sample,SAMPLE,10386950
Uqcc,56046,2490686,MYORES_pass1_p6,2490690,MY-pass1-j01-MP6-1,K10,K,10,sample,SAMPLE,10386950
Usp18,24110,2490680,Myores_pass1_p1,2490703,MY-pass1-j01-MP1-3,F13,F,13,sample,SAMPLE,10385758
Usp18,24110,2490680,Myores_pass1_p1,2490704,MY-pass1-j01-MP1-2,F13,F,13,sample,SAMPLE,10385758
Usp18,24110,2490680,Myores_pass1_p1,2490705,MY-pass1-j01-MP1-1,F13,F,13,sample,SAMPLE,10385758
Usp25,30940,2490684,MYORES_pass1_p4,2490694,MY-pass1-j01-MP5-3,M06,M,6,sample,SAMPLE,10386636
Usp25,30940,2490684,MYORES_pass1_p4,2490695,MY-pass1-j01-MP5-2,M06,M,6,sample,SAMPLE,10386636
Usp25,30940,2490684,MYORES_pass1_p4,2490696,MY-pass1-j01-MP5-1,M06,M,6,sample,SAMPLE,10386636
Usp29,57775,2490683,MYORES_pass1_p5,2490691,MY-pass1-j01-MP4-3,D11,D,11,sample,SAMPLE,10386405
Usp29,57775,2490683,MYORES_pass1_p5,2490692,MY-pass1-j01-MP4-2,D11,D,11,sample,SAMPLE,10386405
Usp29,57775,2490683,MYORES_pass1_p5,2490693,MY-pass1-j01-MP4-1,D11,D,11,sample,SAMPLE,10386405
Usp3,235441,2490686,MYORES_pass1_p6,2490688,MY-pass1-j01-MP6-3,D10,D,10,sample,SAMPLE,10386933
Usp3,235441,2490686,MYORES_pass1_p6,2490689,MY-pass1-j01-MP6-2,D10,D,10,sample,SAMPLE,10386933
Usp3,235441,2490686,MYORES_pass1_p6,2490690,MY-pass1-j01-MP6-1,D10,D,10,sample,SAMPLE,10386933
Usp38,74841,2490680,Myores_pass1_p1,2490703,MY-pass1-j01-MP1-3,C18,C,18,sample,SAMPLE,10385944
Usp38,74841,2490680,Myores_pass1_p1,2490704,MY-pass1-j01-MP1-2,C18,C,18,sample,SAMPLE,10385944
Usp38,74841,2490680,Myores_pass1_p1,2490705,MY-pass1-j01-MP1-1,C18,C,18,sample,SAMPLE,10385944
Utp15,105372,2490680,Myores_pass1_p1,2490703,MY-pass1-j01-MP1-3,C12,C,12,sample,SAMPLE,10385724
Utp15,105372,2490680,Myores_pass1_p1,2490704,MY-pass1-j01-MP1-2,C12,C,12,sample,SAMPLE,10385724
Utp15,105372,2490680,Myores_pass1_p1,2490705,MY-pass1-j01-MP1-1,C12,C,12,sample,SAMPLE,10385724
Vat1l,270097,2490680,Myores_pass1_p1,2490703,MY-pass1-j01-MP1-3,J15,J,15,sample,SAMPLE,10385937
Vat1l,270097,2490680,Myores_pass1_p1,2490704,MY-pass1-j01-MP1-2,J15,J,15,sample,SAMPLE,10385937
Vat1l,270097,2490680,Myores_pass1_p1,2490705,MY-pass1-j01-MP1-1,J15,J,15,sample,SAMPLE,10385937
Vcam1,22329,2490684,MYORES_pass1_p4,2490694,MY-pass1-j01-MP5-3,E15,E,15,sample,SAMPLE,10386621
Vcam1,22329,2490684,MYORES_pass1_p4,2490695,MY-pass1-j01-MP5-2,E15,E,15,sample,SAMPLE,10386621
Vcam1,22329,2490684,MYORES_pass1_p4,2490696,MY-pass1-j01-MP5-1,E15,E,15,sample,SAMPLE,10386621
Vcl,22330,2490683,MYORES_pass1_p5,2490691,MY-pass1-j01-MP4-3,J04,J,4,sample,SAMPLE,10386381
Vcl,22330,2490683,MYORES_pass1_p5,2490692,MY-pass1-j01-MP4-2,J04,J,4,sample,SAMPLE,10386381
Vcl,22330,2490683,MYORES_pass1_p5,2490693,MY-pass1-j01-MP4-1,J04,J,4,sample,SAMPLE,10386381
Vegfb,22340,2490684,MYORES_pass1_p4,2490694,MY-pass1-j01-MP5-3,J08,J,8,sample,SAMPLE,10386765
Vegfb,22340,2490684,MYORES_pass1_p4,2490695,MY-pass1-j01-MP5-2,J08,J,8,sample,SAMPLE,10386765
Vegfb,22340,2490684,MYORES_pass1_p4,2490696,MY-pass1-j01-MP5-1,J08,J,8,sample,SAMPLE,10386765
Veph1,72789,2490683,MYORES_pass1_p5,2490691,MY-pass1-j01-MP4-3,M03,M,3,sample,SAMPLE,10386316
Veph1,72789,2490683,MYORES_pass1_p5,2490692,MY-pass1-j01-MP4-2,M03,M,3,sample,SAMPLE,10386316
Veph1,72789,2490683,MYORES_pass1_p5,2490693,MY-pass1-j01-MP4-1,M03,M,3,sample,SAMPLE,10386316
Vhl,22346,2490684,MYORES_pass1_p4,2490694,MY-pass1-j01-MP5-3,C13,C,13,sample,SAMPLE,10386837
Vhl,22346,2490684,MYORES_pass1_p4,2490695,MY-pass1-j01-MP5-2,C13,C,13,sample,SAMPLE,10386837
Vhl,22346,2490684,MYORES_pass1_p4,2490696,MY-pass1-j01-MP5-1,C13,C,13,sample,SAMPLE,10386837
Vill,22351,2490681,MYORES_pass1_p2,2490697,MY-pass1-j01-MP2-3,J05,J,5,sample,SAMPLE,10386006
Vill,22351,2490681,MYORES_pass1_p2,2490698,MY-pass1-j01-MP2-2,J05,J,5,sample,SAMPLE,10386006
Vill,22351,2490681,MYORES_pass1_p2,2490699,MY-pass1-j01-MP2-1,J05,J,5,sample,SAMPLE,10386006
Vipr1,22354,2490686,MYORES_pass1_p6,2490688,MY-pass1-j01-MP6-3,E04,E,4,sample,SAMPLE,10386990
Vipr1,22354,2490686,MYORES_pass1_p6,2490689,MY-pass1-j01-MP6-2,E04,E,4,sample,SAMPLE,10386990
Vipr1,22354,2490686,MYORES_pass1_p6,2490690,MY-pass1-j01-MP6-1,E04,E,4,sample,SAMPLE,10386990
Vmn1r234,171232,2490680,Myores_pass1_p1,2490703,MY-pass1-j01-MP1-3,G04,G,4,sample,SAMPLE,10385858
Vmn1r234,171232,2490680,Myores_pass1_p1,2490704,MY-pass1-j01-MP1-2,G04,G,4,sample,SAMPLE,10385858
Vmn1r234,171232,2490680,Myores_pass1_p1,2490705,MY-pass1-j01-MP1-1,G04,G,4,sample,SAMPLE,10385858
Vps37a,52348,2490682,MYORES_pass1_p3,2490700,MY-pass1-j01-MP3-3,E10,E,10,sample,SAMPLE,10386247
Vps37a,52348,2490682,MYORES_pass1_p3,2490701,MY-pass1-j01-MP3-2,E10,E,10,sample,SAMPLE,10386247
Vps37a,52348,2490682,MYORES_pass1_p3,2490702,MY-pass1-j01-MP3-1,E10,E,10,sample,SAMPLE,10386247
Vps37b,330192,2490681,MYORES_pass1_p2,2490697,MY-pass1-j01-MP2-3,C15,C,15,sample,SAMPLE,10386051
Vps37b,330192,2490681,MYORES_pass1_p2,2490698,MY-pass1-j01-MP2-2,C15,C,15,sample,SAMPLE,10386051
Vps37b,330192,2490681,MYORES_pass1_p2,2490699,MY-pass1-j01-MP2-1,C15,C,15,sample,SAMPLE,10386051
Vps37d,194309,2490680,Myores_pass1_p1,2490703,MY-pass1-j01-MP1-3,I04,I,4,sample,SAMPLE,10385668
Vps37d,194309,2490680,Myores_pass1_p1,2490704,MY-pass1-j01-MP1-2,I04,I,4,sample,SAMPLE,10385668
Vps37d,194309,2490680,Myores_pass1_p1,2490705,MY-pass1-j01-MP1-1,I04,I,4,sample,SAMPLE,10385668
Vps45,22365,2490682,MYORES_pass1_p3,2490700,MY-pass1-j01-MP3-3,N17,N,17,sample,SAMPLE,10386553
Vps45,22365,2490682,MYORES_pass1_p3,2490701,MY-pass1-j01-MP3-2,N17,N,17,sample,SAMPLE,10386553
Vps45,22365,2490682,MYORES_pass1_p3,2490702,MY-pass1-j01-MP3-1,N17,N,17,sample,SAMPLE,10386553
Vwa5a,67776,2490686,MYORES_pass1_p6,2490688,MY-pass1-j01-MP6-3,I11,I,11,sample,SAMPLE,10386614
Vwa5a,67776,2490686,MYORES_pass1_p6,2490689,MY-pass1-j01-MP6-2,I11,I,11,sample,SAMPLE,10386614
Vwa5a,67776,2490686,MYORES_pass1_p6,2490690,MY-pass1-j01-MP6-1,I11,I,11,sample,SAMPLE,10386614
Was,22376,2490686,MYORES_pass1_p6,2490688,MY-pass1-j01-MP6-3,K22,K,22,sample,SAMPLE,10386891
Was,22376,2490686,MYORES_pass1_p6,2490689,MY-pass1-j01-MP6-2,K22,K,22,sample,SAMPLE,10386891
